reseller_id,reseller_name,channel,commission_rate,created_at,updated_at
1,Reseller 01,Online Partner,0.06,2024-01-30,2024-07-08
2,Reseller 02,Online Partner,0.16,2024-01-13,2024-07-19
3,Reseller 03,Corporate Sales,0.11,2024-02-16,2024-06-21
4,Reseller 04,Corporate Sales,0.1,2024-03-26,2024-07-05
5,Reseller 05,Online Partner,0.13,2024-01-22,2024-08-08
6,Reseller 06,Affiliate,0.07,2024-02-18,2024-07-05
7,Reseller 07,Affiliate,0.14,2024-01-08,2024-06-30
8,Reseller 08,Online Partner,0.15,2024-02-21,2024-07-05
9,Reseller 09,Online Partner,0.08,2024-03-13,2024-07-11
10,Reseller 10,Affiliate,0.14,2024-02-20,2024-08-22
