sale_id,event_id,customer_id,reseller_id,sale_date,ticket_type,quantity,unit_price,discount_amount,gross_revenue,net_revenue,payment_status,created_at,updated_at
1,46,282,1,2024-11-28,VIP,1,100.0,10.0,100.0,90.0,Paid,2024-11-28T00:00:00,2024-11-29T00:00:00
2,46,103,1,2024-10-25,Premium,2,100.0,10.0,200.0,190.0,Paid,2024-10-25T00:00:00,2024-10-28T00:00:00
3,2,283,7,2024-07-28,Premium,5,90.0,45.0,450.0,405.0,Pending,2024-07-28T00:00:00,2024-07-28T00:00:00
4,5,295,6,2024-11-19,Standard,4,110.0,66.0,440.0,374.0,Paid,2024-11-19T00:00:00,2024-11-21T00:00:00
5,42,283,2,2024-11-07,Premium,4,55.0,22.0,220.0,198.0,Paid,2024-11-07T00:00:00,2024-11-10T00:00:00
6,33,85,4,2024-04-12,Premium,1,40.0,2.0,40.0,38.0,Paid,2024-04-12T00:00:00,2024-04-17T00:00:00
7,15,101,4,2024-09-23,VIP,5,200.0,0.0,1000.0,1000.0,Paid,2024-09-23T00:00:00,2024-09-28T00:00:00
8,20,298,9,2024-10-03,Premium,5,80.0,20.0,400.0,380.0,Paid,2024-10-03T00:00:00,2024-10-08T00:00:00
9,40,42,,2024-08-08,Standard,5,50.0,0.0,250.0,250.0,Pending,2024-08-08T00:00:00,2024-08-10T00:00:00
10,42,280,7,2024-10-21,VIP,5,55.0,0.0,275.0,275.0,Paid,2024-10-21T00:00:00,2024-10-24T00:00:00
11,16,31,1,2024-06-09,Premium,4,50.0,30.0,200.0,170.0,Refunded,2024-06-09T00:00:00,2024-06-12T00:00:00
12,31,164,5,2024-07-05,VIP,2,50.0,5.0,100.0,95.0,Refunded,2024-07-05T00:00:00,2024-07-06T00:00:00
13,49,124,5,2024-12-04,Early Bird,5,120.0,0.0,600.0,600.0,Paid,2024-12-04T00:00:00,2024-12-06T00:00:00
14,29,197,4,2024-12-23,Early Bird,2,120.0,0.0,240.0,240.0,Paid,2024-12-23T00:00:00,2024-12-24T00:00:00
15,53,256,2,2024-09-10,Early Bird,5,150.0,37.5,750.0,712.5,Refunded,2024-09-10T00:00:00,2024-09-12T00:00:00
16,32,111,3,2024-11-07,VIP,1,165.0,24.75,165.0,140.25,Paid,2024-11-07T00:00:00,2024-11-07T00:00:00
